time, angle [deg], U Currrent [A], V Current [A], W Current [A] , Id[A], Iq[A]
0.155,14.6136,-0.0498273,0.0255831,0.0242442,0.0155105,0.0590293
0.156,15.4047,-0.0225871,0.065048,-0.0424609,0.0808924,0.00088243
0.158,16.4595,-0.0438477,-0.0354083,0.079256,-0.0489027,0.084062
0.159,17.6901,-0.0651083,0.0243871,0.0407212,0.0363538,0.0716106
0.16,19.0746,-0.054478,0.091358,-0.03688,0.111091,-0.0182511
0.162,20.5469,-0.035875,0.0255831,0.010292,0.0421222,0.0165274
0.163,21.9314,-0.076403,0.0363462,0.0400568,0.0836279,0.0420641
0.164,23.206,-0.0338818,0.0387381,-0.00485622,0.0486318,-0.0175255
0.166,24.3267,-0.0225871,0.149958,-0.12737,0.0557772,-0.190025
0.167,25.2716,-0.0338818,-0.00670648,0.0405883,0.0408476,0.0342321
0.168,26.2825,-0.0624507,0.0040567,0.058394,0.0812966,0.0267822
0.171,27.3153,-0.076403,0.0734194,0.00298361,0.0815668,-0.0677022
0.172,27.5791,-0.039197,0.0542849,-0.0150879,0.0353713,-0.0588198
0.174,27.7109,-0.0704235,-0.00790239,0.0783259,0.0986279,0.0378072
0.175,27.6889,-0.035875,0.0554808,-0.0196058,0.0331054,-0.0604446
0.178,26.8319,-0.0345462,0.0865744,-0.0520282,0.0296791,-0.102541
0.18,25.8869,-0.054478,0.0554808,-0.00100275,0.0661952,-0.0408065
0.182,25.0299,-0.0312243,0.127235,-0.096011,0.0525314,-0.153696
0.183,24.085,-0.0332174,0.0363462,-0.0031288,0.0471695,-0.0144662
0.185,20.503,-0.0710879,-0.00311875,0.0742066,0.0286168,0.0990483
0.189,18.5472,-0.0431833,0.0160158,0.0271676,0.0239277,0.047821
0.192,17.0529,-0.0272379,-0.00192284,0.0291607,-0.00599061,0.0394976
0.195,15.8222,-0.061122,0.078203,-0.0170811,0.0891577,0.0468431
0.197,15.6904,-0.0518205,-0.00311875,0.0549392,-0.0170855,0.0736307
0.198,15.8882,-0.0551424,0.0315626,0.0235798,0.0297034,0.0608347
0.2,16.1738,-0.0225871,-0.00311875,0.0257059,-0.0073764,0.0335602
0.201,16.921,-0.0451765,0.0542849,-0.00910835,0.06613,0.0264111
0.203,17.5803,-0.0518205,0.0746153,-0.0227949,0.0928392,0.0123815
0.204,18.5692,-0.0252447,0.0100362,0.0152085,0.0176892,0.0256205
0.206,19.8877,-0.0564712,0.00644852,0.0500227,0.0349715,0.0671554
0.208,21.382,-0.054478,-0.00311875,0.0575968,0.0383614,0.0690346
0.21,22.7005,-0.0737454,-0.00311875,0.0768642,0.0672904,0.082633
0.212,23.7114,-0.0684303,0.0722235,-0.00379321,0.0929765,-0.0366151
0.214,24.6344,-0.0551424,-0.0234492,0.0785916,0.0627199,0.0763768
0.218,25.2277,-0.0225871,0.0734194,-0.0508323,0.0328347,-0.0860604
0.219,25.1178,-0.095006,0.0925539,0.00245208,0.120982,-0.0544218
0.221,24.8541,-0.0438477,0.078203,-0.0343553,0.062345,-0.0730187
