time, angle [deg], U Currrent [A], V Current [A], W Current [A] , Id[A], Iq[A]
0.147,10.68,-0.0225871,-0.00311875,0.0257059,-0.0267643,0.0215493
0.151,10.7899,-0.0332174,0.0925539,-0.0593365,0.0936512,0.0667336
0.152,10.7459,-0.0239159,0.0734194,-0.0495035,0.0768427,0.0496683
0.155,10.7899,-0.0305599,0.0698317,-0.0392718,0.06594,0.0549907
0.156,10.8119,-0.0225871,0.14039,-0.117803,0.170252,0.0714945
0.158,10.8558,-0.0252447,0.0554808,-0.0302361,0.0513235,0.0449463
0.158,10.8558,-0.0551424,0.0351503,0.0199921,-0.00576632,0.0681371
0.159,10.8778,-0.0126212,0.0602644,-0.0476432,0.0702907,0.0334692
0.161,10.8119,-0.0651083,0.0674399,-0.00233154,0.0280848,0.0894646
0.162,10.8338,-0.0199296,0.0351503,-0.0152208,0.0285627,0.0323818
0.162,10.7679,-0.0657727,0.0160158,0.0497569,-0.0434245,0.0719209
0.163,10.7899,-0.0484985,0.0925539,-0.0440555,0.0789091,0.0814407
0.163,10.8119,-0.054478,0.0554808,-0.00100275,0.0215992,0.0747024
0.166,10.7459,-0.0471697,0.0339544,0.0132153,-0.00071663,0.0596005
0.167,10.702,-0.0431833,0.0925539,-0.0493706,0.0835451,0.0767379
0.168,10.7459,-0.0644439,0.0172117,0.0472322,-0.0412282,0.0705718
0.169,10.702,-0.0265735,0.0734194,-0.0468459,0.0732052,0.0541489
0.17,10.68,-0.017272,0.111688,-0.0944165,0.13521,0.058356
0.171,10.68,-0.0597932,0.189423,-0.129629,0.19842,0.129959
0.173,10.5701,-0.054478,0.0638521,-0.00937411,0.0320001,0.0781589
0.173,10.5921,-0.0338818,0.122452,-0.0885698,0.13306,0.0792601
0.175,10.68,-0.0146144,0.121256,-0.106641,0.150453,0.0604377
0.176,10.6361,-0.0119568,0.111688,-0.0997316,0.14039,0.053426
0.177,10.702,-0.0910197,0.170288,-0.0792683,0.140955,0.153941
0.178,10.6361,-0.0491629,0.112884,-0.0637215,0.104904,0.0906391
0.179,10.702,-0.0551424,0.170288,-0.115146,0.177299,0.117739
0.179,10.7679,-0.0338818,0.0925539,-0.0586721,0.0924473,0.0678979
0.18,10.702,-0.0538136,0.0937499,-0.0399362,0.0743552,0.0880406
0.181,10.7459,-0.035875,0.151153,-0.115278,0.170221,0.0914572
0.182,10.7459,-0.0252447,0.0829867,-0.057742,0.0884797,0.0555157
0.183,10.724,-0.0126212,0.0698317,-0.0572104,0.0827132,0.0383057
0.183,10.7679,-0.0445121,0.0746153,-0.0301032,0.0576916,0.0716007
0.184,10.724,-0.0551424,0.0901621,-0.0350197,0.0678888,0.0882461
0.184,10.702,-0.0438477,0.103317,-0.0594694,0.0978191,0.0812876
0.188,10.702,-0.0631151,0.0829867,-0.0198715,0.0508582,0.0931591
0.188,10.8338,-0.0279023,0.0758112,-0.0479089,0.0758724,0.0553581
0.189,10.7679,-0.0385326,0.216928,-0.178396,0.258564,0.116242
0.19,10.7679,-0.0279023,0.151153,-0.123251,0.179338,0.0815753
0.191,10.7899,-0.0252447,0.102121,-0.0768765,0.114329,0.0624885
0.192,10.7459,-0.054478,0.0877703,-0.0332923,0.0662156,0.0859962
0.193,10.702,-0.020594,0.11408,-0.0934863,0.135648,0.0614628
0.193,10.7899,-0.0332174,0.155937,-0.12272,0.179661,0.0905644
0.194,10.7899,-0.0465053,0.0734194,-0.0269141,0.0540708,0.0731701
0.195,10.8338,-0.0338818,0.130823,-0.0969412,0.144922,0.0815951
0.195,10.7679,0.00664617,0.105709,-0.112355,0.15117,0.0314616
0.196,10.7679,-0.0338818,0.0841826,-0.0503008,0.0806672,0.0652507
0.197,10.702,-0.0551424,0.0698317,-0.0146893,0.0409931,0.0803274
0.198,10.7459,0.00664617,0.112884,-0.119531,0.160982,0.0340501
0.199,10.68,-0.0119568,0.0542849,-0.042328,0.0621498,0.0317529
0.2,10.68,-0.0279023,0.0459135,-0.0180112,0.0346292,0.0448532
0.201,10.702,-0.0126212,0.145174,-0.132553,0.185053,0.0675302
0.202,10.658,-0.0438477,0.0925539,-0.0487062,0.0824665,0.0778488
0.202,10.702,-0.0431833,0.112884,-0.0697011,0.110893,0.0846686
0.203,10.658,-0.0338818,0.141586,-0.107704,0.158936,0.0868002
0.203,10.702,-0.0225871,0.0602644,-0.0376773,0.0594274,0.0450549
0.204,10.658,-0.0338818,0.116472,-0.0825903,0.124693,0.0773723
0.205,10.658,-0.0285667,0.170288,-0.141721,0.203173,0.0928423
0.206,10.658,0.0033242,0.148762,-0.152086,0.206321,0.0519907
0.206,10.658,-0.0119568,0.0746153,-0.0626585,0.0895902,0.040126
0.207,10.6361,-0.00199095,0.188227,-0.186236,0.255025,0.0712699
0.208,10.68,-0.0657727,0.178659,-0.112887,0.178786,0.130476
0.209,10.68,-0.061122,0.0937499,-0.0326279,0.0662853,0.0957162
0.21,10.6361,-0.0604576,0.0949458,-0.0344882,0.0688415,0.095314
0.21,10.658,-0.0338818,0.0829867,-0.0491048,0.0790366,0.0648017
0.211,10.702,-0.0524848,0.065048,-0.0125632,0.0362578,0.0763486
0.212,10.658,-0.0657727,0.132019,-0.0662462,0.11409,0.114574
0.212,10.658,-0.0604576,0.0638521,-0.00339457,0.0261894,0.084011
0.213,10.68,-0.0531492,0.0925539,-0.0394047,0.073151,0.0871363
0.213,10.6141,-0.0332174,0.148762,-0.115544,0.170333,0.0870099
0.215,10.658,-0.0332174,0.127235,-0.0940179,0.140254,0.0803768
0.215,10.702,-0.0664371,0.0746153,-0.0081782,0.0353484,0.0938014
0.216,10.7459,0.00930374,0.136803,-0.146106,0.195781,0.0426425
0.216,10.702,-0.0225871,0.0937499,-0.0711627,0.105697,0.0564937
0.217,10.724,-0.039197,0.0638521,-0.0246552,0.0477643,0.062897
0.218,10.7459,-0.00199095,0.130823,-0.128832,0.176908,0.0491918
0.218,10.724,-0.039197,0.0542849,-0.0150879,0.0351857,0.0588363
0.219,10.7459,-0.0338818,0.151153,-0.117272,0.172941,0.0885397
0.22,10.7679,-0.0604576,0.039934,0.0205236,-0.00561639,0.0750967
0.22,10.658,-0.0119568,0.129627,-0.11767,0.165503,0.0583206
0.222,10.7679,-0.0551424,0.00525261,0.0498898,-0.0477462,0.0576328
0.223,10.724,-0.0558068,0.0363462,0.0194606,-0.00551832,0.0691644
0.223,10.8119,-0.0604576,0.132019,-0.0715614,0.120594,0.107992
0.224,10.7679,-0.0132856,0.127235,-0.11395,0.160751,0.0592358
0.224,10.702,0.00863935,0.0722235,-0.0808628,0.107272,0.0179575
0.225,10.7899,-0.0225871,0.112884,-0.0902973,0.131862,0.0633963
0.226,10.7679,-0.0498273,0.0734194,-0.0235921,0.0511718,0.0763683
0.226,10.7459,-0.0186008,0.0734194,-0.0548186,0.0822283,0.0444971
0.227,10.7459,-0.0571356,0.0554808,0.00165483,0.0193671,0.0773191
0.227,10.658,-0.0312243,0.0937499,-0.0625256,0.0969179,0.0654245
0.228,10.7459,-0.039197,-0.00192284,0.0411198,-0.0418814,0.0384303
0.229,10.724,-0.039197,0.0734194,-0.0342224,0.0609965,0.0659981
0.23,10.7899,-0.0119568,0.0925539,-0.0805971,0.114528,0.0453909
0.231,10.7459,-0.0332174,0.135607,-0.102389,0.152123,0.0826731
0.232,10.702,-0.0445121,0.0423258,0.00218635,0.0133769,0.0599887
0.234,10.702,-0.0259091,0.0985335,-0.0726244,0.108597,0.0621381
0.236,10.702,-0.0498273,0.226496,-0.176668,0.259014,0.133816
0.237,10.724,-0.0478341,0.0172117,0.0306224,-0.0242585,0.0542276
0.238,10.724,-0.054478,0.0602644,-0.00578638,0.0279352,0.0765033
0.239,10.702,-0.0551424,0.163113,-0.10797,0.167809,0.114647
0.24,10.7679,-0.0445121,0.0949458,-0.0504336,0.0857037,0.0787049
0.241,10.7459,0.0139545,0.112884,-0.126839,0.168116,0.0276167
0.241,10.724,-0.0225871,0.154741,-0.132154,0.188887,0.0779877
0.242,10.7679,-0.0411902,0.170288,-0.129098,0.19155,0.103293
0.243,10.7679,-0.0225871,0.091358,-0.0687709,0.102575,0.0553556
0.244,10.8119,-0.0385326,0.0734194,-0.0348868,0.0620127,0.0651666
0.245,10.7459,-0.020594,0.0937499,-0.0731559,0.107973,0.0539138
0.245,10.724,-0.00730609,0.159525,-0.152219,0.211035,0.064315
0.246,10.7459,-0.0225871,-0.00192284,0.02451,-0.0250699,0.0221153
0.247,10.7679,-0.0551424,0.0626562,-0.00751381,0.0303303,0.078203
0.249,10.724,-0.0345462,0.112884,-0.0783382,0.119949,0.0763651
0.25,10.702,-0.0345462,0.0722235,-0.0376773,0.0640212,0.0610781
