time, angle [deg], U Currrent [A], V Current [A], W Current [A] , Id[A], Iq[A]
0.135,108.8,0.00930374,-0.0318206,0.0225168,-0.0162046,-0.0366541
0.139,108.053,0.0405302,-0.299704,0.259174,-0.192499,-0.348684
0.139,108.053,0.253801,-0.202836,-0.050965,0.189511,-0.268775
0.14,107.987,-0.352791,0.206165,0.146625,-0.326048,0.286631
0.141,107.921,0.158792,-1.17989,1.0211,-0.732997,-1.38662
0.142,107.701,0.0564757,0.532648,-0.589124,0.499905,0.62107
0.144,107.613,-0.0285667,-0.693158,0.721725,-0.578418,-0.81707
0.145,107.569,0.0936817,0.24563,-0.339312,0.320657,0.285345
0.146,107.569,-0.165432,0.0363462,0.129085,-0.206378,0.052533
0.148,107.459,0.311603,-0.290137,-0.0214659,0.223553,-0.362988
0.149,107.415,0.10697,-1.0603,0.953332,-0.648227,-1.27449
0.15,107.415,0.39133,0.0375421,-0.428872,0.580946,0.0328836
0.151,107.35,-0.0119568,0.264765,-0.252808,0.176719,0.320345
0.153,107.284,-0.437833,0.00764443,0.430189,-0.613416,0.0215602
0.154,107.306,0.272404,0.301838,-0.574242,0.60781,0.354444
0.155,107.328,0.264431,-0.156195,-0.108236,0.257535,-0.198584
0.156,107.306,-0.395312,-0.078461,0.473773,-0.616766,-0.0805506
0.158,107.372,-0.363421,0.196598,0.166823,-0.368068,0.25116
0.159,107.372,-0.108294,0.152349,-0.0440555,-0.0391856,0.188308
0.16,107.437,0.307616,-0.078461,-0.229155,0.375556,-0.113718
0.162,107.459,0.0916885,0.135607,-0.227295,0.235131,0.152224
0.165,107.657,-0.421223,0.0734194,0.347804,-0.537395,0.122446
0.166,107.635,-0.283694,0.857936,-0.574242,0.271023,1.03578
0.166,107.723,-0.352791,0.24563,0.10716,-0.305702,0.320663
0.167,107.701,0.0617908,0.652239,-0.71403,0.597666,0.764405
0.167,107.701,-0.0571356,0.854348,-0.797212,0.593407,1.00826
0.168,107.679,-0.416572,0.226496,0.190077,-0.40824,0.308181
0.169,107.679,-0.437833,0.190618,0.247215,-0.46593,0.268434
0.17,107.701,0.449797,-0.00192284,-0.447874,0.632443,-0.0541026
0.173,107.745,-0.0651083,0.839997,-0.774889,0.578809,0.987556
0.174,107.745,0.125573,-1.09259,0.967019,-0.688278,-1.29264
0.186,107.569,0.202642,-0.078461,-0.124181,0.225782,-0.107391
