time, angle [deg]
0,238.059
0.257,237.905
0.268,237.905
0.278,237.927
0.288,237.883
0.298,237.883
0.308,237.905
0.32,237.883
0.333,237.883
0.343,237.927
0.353,237.883
0.363,237.883
0.373,237.905
0.387,237.883
0.397,237.927
0.408,237.927
0.418,237.905
0.428,237.949
0.439,237.883
0.449,237.905
0.459,237.927
0.469,237.795
0.48,237.949
0.49,237.839
0.5,237.883
0.51,237.905
0.521,237.905
0.531,237.883
0.541,237.971
0.551,237.883
0.561,237.905
0.571,237.883
0.582,237.883
0.592,237.927
0.602,237.883
0.612,237.883
0.622,237.905
0.632,237.927
0.643,237.861
0.653,237.883
0.663,237.949
0.673,237.905
0.683,237.927
0.693,237.883
0.704,237.905
0.714,237.839
0.724,237.861
0.734,237.927
0.744,237.905
0.754,237.861
0.764,237.927
0.775,237.905
0.785,237.905
0.795,237.883
0.805,237.905
0.815,237.905
0.825,237.883
0.836,237.883
0.846,237.905
0.856,237.905
0.866,237.949
0.876,237.905
0.886,237.861
0.896,237.861
0.907,237.883
0.917,237.883
0.927,237.861
0.937,237.905
0.947,237.927
0.958,237.861
0.968,237.861
0.978,237.905
0.988,237.883
0.998,237.905
1.008,237.905
1.018,237.905
1.029,237.927
1.039,237.861
1.049,237.927
1.059,237.927
1.069,237.927
1.079,237.949
1.089,237.883
1.099,237.949
1.11,237.927
1.12,237.839
1.13,237.839
1.14,237.905
1.15,237.883
1.16,237.861
1.17,237.927
1.181,237.861
1.191,237.817
1.201,237.883
1.211,237.927
1.221,237.905
1.231,237.927
1.241,237.927
1.252,237.817
1.262,237.927
1.272,237.927
1.282,237.927
1.292,237.927
1.302,237.883
1.312,237.905
1.322,237.839
1.333,237.927
1.343,237.949
1.353,237.927
1.363,237.905
1.373,237.839
1.383,237.927
1.393,237.883
1.404,237.905
1.414,237.883
1.424,237.883
1.434,237.905
1.444,237.817
1.454,237.883
1.465,237.905
1.475,237.839
1.485,237.905
1.495,237.839
1.505,237.905
1.515,237.949
1.525,237.927
1.535,237.927
1.546,237.861
1.556,237.883
1.566,237.905
1.576,237.927
1.586,237.927
1.596,237.905
1.607,237.905
1.617,237.883
1.627,237.927
1.637,237.905
1.647,237.861
1.657,237.905
1.667,237.927
1.678,237.883
1.688,237.861
1.698,237.839
1.708,237.905
1.718,237.883
1.728,237.883
1.738,237.927
1.748,237.883
1.759,237.949
1.769,237.905
1.779,237.883
1.789,237.949
1.799,237.905
1.809,237.949
1.819,237.927
1.83,237.949
1.84,237.883
1.85,237.927
1.86,237.949
1.87,237.883
1.88,237.927
1.891,237.883
1.901,237.927
1.911,237.883
1.921,237.861
1.931,237.927
1.941,237.905
1.951,237.861
1.962,237.861
1.972,237.883
1.982,237.883
1.992,237.927
2.002,237.927
2.012,237.927
2.023,237.905
2.033,237.905
2.043,237.905
2.053,237.905
2.063,237.905
2.073,237.905
2.083,237.883
2.093,237.949
2.104,237.861
2.114,237.905
2.124,237.927
2.134,237.905
2.144,237.817
2.154,237.839
2.164,237.883
2.175,237.905
2.185,237.883
2.195,237.905
2.205,237.927
2.215,237.905
2.225,237.927
2.235,237.927
2.246,237.905
2.256,237.949
2.266,237.905
2.276,237.795
2.286,236.806
2.296,233.598
2.306,227.291
2.317,222.303
2.327,220.676
2.337,219.687
2.347,220.72
2.357,223.665
2.367,229.027
2.378,237.026
2.388,249.354
2.398,266.627
2.408,284.581
2.418,298.755
2.428,313.215
2.438,330.773
2.449,346.573
2.459,358.484
2.469,377.382
2.479,392.787
2.489,406.61
2.499,424.739
2.51,442.122
2.52,454.736
2.53,473.041
2.54,490.687
2.55,505.411
2.56,523.409
2.571,541.912
2.581,558.591
2.591,579.314
2.601,599.004
2.611,615.595
2.621,635.505
2.631,652.953
2.642,665.677
2.652,684.62
2.662,701.255
2.672,714.462
2.682,731.999
2.692,748.48
2.702,762.83
2.713,779.949
2.723,798.496
2.733,812.604
2.743,830.712
2.753,848.995
2.764,864.62
2.774,882.464
2.784,901.56
2.794,918.327
2.804,939.578
2.814,959.443
2.824,976.87
2.835,996.801
2.845,1014.14
2.855,1027.39
2.865,1046.58
2.875,1063.06
2.885,1075.8
2.896,1094.39
2.906,1110.48
2.916,1124.76
2.926,1142.54
2.936,1160.65
2.946,1174.03
2.957,1192.4
2.967,1210.64
2.977,1225.61
2.987,1244.4
2.997,1262.94
3.007,1279.84
3.017,1301.14
3.028,1320.67
3.038,1337.92
3.048,1357.75
3.058,1374.76
3.068,1387.9
3.078,1407.08
3.088,1423.63
3.099,1436.4
3.109,1455.29
3.119,1471.31
3.129,1485.71
3.139,1503.97
3.149,1521.97
3.16,1535.15
3.17,1554.32
3.18,1572.38
3.19,1586.93
3.2,1606.66
3.21,1625.14
3.22,1642
3.231,1663.99
3.241,1683.2
3.251,1701.37
3.261,1721.02
3.271,1737.17
3.281,1752.14
3.291,1770.42
3.301,1786.66
3.312,1799.32
3.322,1818.83
3.332,1834.15
3.342,1848.57
3.352,1867.49
3.362,1884.8
3.372,1897.75
3.383,1917.94
3.393,1935.76
3.403,1949.85
3.413,1970.81
3.423,1988.81
3.433,2006.44
3.444,2028.94
3.454,2047.55
3.464,2067
3.474,2086.47
3.484,2101.35
3.494,2119.41
3.504,2136.66
3.515,2152.15
3.525,2168.22
3.535,2186.24
3.545,2201.16
3.555,2217.75
3.565,2236.47
3.576,2251.11
3.586,2267.75
3.596,2286.62
3.606,2303.08
3.616,2320.07
3.626,2339.41
3.637,2356.55
3.647,2377.07
3.657,2397.64
3.667,2415.33
3.677,2435.57
3.687,2453.3
3.697,2466.73
3.708,2485.98
3.718,2502.73
3.728,2515.58
3.738,2534.31
3.748,2550.77
3.758,2565.4
3.768,2583.64
3.779,2601.81
3.789,2615.26
3.799,2634.47
3.809,2652.67
3.819,2667.5
3.829,2687.58
3.839,2705.96
3.85,2722.96
3.86,2745.25
3.87,2764.04
3.88,2782.63
3.89,2802.25
3.9,2818.12
3.91,2833.61
3.921,2851.65
3.931,2867.89
3.941,2880.86
3.951,2900.57
3.961,2915.91
3.971,2930.98
3.982,2950.15
3.992,2966.67
4.002,2980.25
4.012,3000.89
4.022,3018.8
4.032,3034.14
4.042,3055.36
4.052,3073.49
4.063,3093.36
4.073,3115.14
4.083,3133.38
4.093,3153.9
4.103,3172.65
4.113,3186.64
4.123,3206.4
4.134,3223.65
4.144,3237.28
4.154,3257.05
4.164,3273.34
4.174,3288.15
4.184,3307.44
4.194,3324.91
4.205,3338.21
4.215,3358.38
4.225,3376.2
4.235,3390.2
4.245,3410.95
4.255,3428.77
4.266,3446.11
4.276,3468.04
4.286,3486.43
4.296,3505.18
4.306,3524.34
4.316,3539.35
4.326,3555.48
4.337,3573.12
4.347,3588.9
4.357,3602.18
4.367,3621.36
4.377,3636.3
4.387,3651.05
4.397,3670.19
4.408,3686.63
4.418,3700.16
4.428,3720.4
4.438,3738.33
4.448,3753.12
4.458,3774.29
4.469,3792.22
4.479,3811.12
4.489,3832.67
4.499,3850.63
4.509,3870.41
4.519,3889.2
4.529,3903.19
4.539,3921.68
4.55,3938.62
4.56,3953.01
4.57,3969.71
4.58,3987.03
4.59,4001.86
4.6,4018.92
4.611,4037.66
4.621,4052.25
4.631,4069.83
4.641,4088.58
4.651,4104.55
4.661,4122.77
4.671,4141.82
4.681,4158.9
4.692,4180.5
4.702,4200.54
4.712,4218.25
4.722,4238.43
4.732,4255.72
4.742,4270.2
4.752,4289.23
4.763,4305.83
4.773,4318.99
4.783,4338.83
4.793,4354.59
4.803,4369.62
4.813,4389.22
4.823,4406.41
4.834,4420.71
4.844,4441.19
4.854,4459.35
4.864,4474.49
4.874,4495.45
4.884,4513.1
4.894,4532.08
4.905,4553.42
4.915,4571.16
4.925,4590.54
4.935,4609.09
4.945,4622.6
4.955,4640.88
4.965,4657.8
4.976,4672.59
4.986,4688.88
4.996,4706.61
5.006,4721.67
5.016,4738.76
5.026,4757.53
5.036,4772.1
5.047,4789.63
5.057,4808.71
5.067,4824.82
5.077,4843.56
5.087,4862.59
5.097,4879.89
5.108,4901.64
5.118,4921.38
5.128,4939.18
5.138,4959.37
5.148,4976.1
5.158,4990.58
5.168,5009.12
5.179,5025.52
5.189,5037.96
5.199,5057.38
5.209,5073.01
5.219,5087.25
5.229,5105.9
5.239,5123.37
5.25,5136.23
5.26,5155.61
5.27,5173.59
5.28,5187.59
5.29,5207.67
5.3,5225.96
5.311,5242.77
5.321,5265.36
5.331,5284.52
5.341,5303.29
5.351,5322.91
5.361,5338.62
5.371,5354.66
5.382,5372.42
5.392,5388.55
5.402,5401.89
5.412,5421.29
5.422,5436.3
5.432,5451.05
5.442,5470.37
5.453,5486.87
5.463,5500.6
5.473,5520.71
5.483,5538.14
5.493,5552.27
5.503,5573.23
5.514,5590.92
5.524,5609.1
5.534,5631.09
5.544,5648.91
5.554,5668.52
5.564,5687.5
5.574,5702.03
5.585,5720.05
5.595,5737.28
5.605,5752.24
5.615,5768.64
5.625,5786.59
5.635,5801.67
5.645,5818.98
5.656,5838.08
5.666,5852.52
5.676,5870.95
5.686,5889.85
5.696,5905.87
5.706,5925.39
5.716,5944.04
5.727,5961.32
5.737,5983.58
5.747,6002.98
5.757,6021.62
5.767,6048.05
5.777,6075.43
5.787,6102.6
5.798,6127.98
5.808,6161.27
5.818,6198.65
5.828,6241.17
5.838,6288.07
5.848,6340.08
5.858,6395.99
5.868,6452.31
5.879,6511.56
5.889,6573.61
5.899,6637.67
5.909,6699.49
5.919,6764.14
5.929,6823.58
5.939,6880.02
5.95,6933.97
5.96,6984.51
5.97,7031.54
5.98,7078.21
5.99,7122.1
6,7161.7
6.01,7199.19
6.021,7236.54
6.031,7272.47
6.041,7306.05
6.051,7339.19
6.061,7370.55
6.071,7400.66
6.082,7432.63
6.092,7462.43
6.102,7490.71
6.112,7515.96
6.122,7540.84
6.132,7563.71
6.142,7588.13
6.152,7609.82
6.163,7634.14
6.173,7654.78
6.183,7678.43
6.193,7700.27
6.203,7721.34
6.213,7743.63
6.223,7764.37
6.234,7789.22
6.244,7810.63
6.254,7832.85
6.264,7853.7
6.274,7871.06
6.284,7891.78
6.295,7910
6.305,7927.71
6.315,7947.45
6.325,7964.04
6.335,7983.4
6.345,8002.76
6.356,8017.88
6.366,8038.97
6.376,8057.85
6.386,8074.18
6.396,8095.87
6.406,8114.46
6.416,8135.27
6.427,8157.25
6.437,8175.99
6.447,8197.28
6.457,8215.74
6.467,8231.9
6.477,8251.43
6.487,8268.57
6.498,8284.18
6.508,8303.82
6.518,8319.56
6.528,8336.83
6.538,8356.43
6.548,8372.08
6.559,8390.49
6.569,8409.87
6.579,8425.98
6.589,8446.07
6.599,8465.01
6.609,8482.72
6.619,8505.38
6.63,8524.89
6.64,8544.25
6.65,8564.25
6.66,8580.01
6.67,8597.46
6.68,8615.19
6.69,8630.92
6.701,8646.68
6.711,8665.16
6.721,8680.28
6.731,8697.05
6.741,8716.1
6.751,8731.22
6.761,8748.29
6.772,8767.24
6.782,8783.46
6.792,8800.99
6.802,8820.57
6.812,8838.09
6.822,8859.89
6.832,8880.39
6.843,8898.54
6.853,8919.04
6.863,8936.14
6.873,8951.28
6.883,8976.38
6.893,9005.01
6.903,9034.02
6.914,9061.77
6.924,9093.07
6.934,9126.6
6.944,9157.21
6.954,9188.02
6.964,9219.53
6.975,9254.69
6.985,9288.51
6.995,9318.6
7.005,9349.94
7.015,9382.26
7.025,9412.52
7.035,9443.04
7.046,9471.72
7.056,9499.57
7.066,9527.32
7.076,9563.03
7.086,9604.74
7.096,9645.97
7.106,9683.61
7.117,9718.95
7.127,9753.69
7.137,9786.89
7.147,9817.57
7.157,9849.41
7.167,9878.11
7.178,9907.67
7.188,9937.05
7.198,9966.59
7.208,9994.87
7.218,10020.4
7.228,10045.8
7.238,10069.3
7.249,10092.8
7.259,10115.7
7.269,10137.9
7.279,10161.2
7.289,10180.9
7.299,10204.6
7.31,10224.9
7.32,10247.4
7.33,10268.6
7.34,10289.8
7.35,10313.8
7.36,10334.1
7.37,10356.3
7.381,10375.5
7.391,10392.9
7.401,10412.4
7.411,10429.9
7.421,10446.7
7.431,10466
7.441,10482.2
7.452,10500.7
7.462,10520.3
7.472,10535.2
7.482,10555.5
7.492,10574.6
7.502,10590.2
7.512,10611.8
7.523,10630.4
7.533,10649.2
7.543,10671.3
7.553,10689.9
7.563,10709.9
7.573,10728.9
7.584,10743.3
7.594,10762.2
7.604,10779.5
7.614,10794
7.624,10811.7
7.634,10828.9
7.644,10843.7
7.655,10861.7
7.665,10880.5
7.675,10894.5
7.685,10913.5
7.695,10931.9
7.705,10946.7
7.715,10966.6
7.726,10984.8
7.736,11001.8
7.746,11024
7.756,11043.4
7.766,11062.3
7.776,11082.4
7.786,11098.6
7.797,11115.2
7.807,11133.5
7.817,11150
7.827,11165.3
7.837,11184.3
7.847,11199.6
7.857,11216.3
7.868,11235.6
7.878,11250.8
7.888,11267.9
7.898,11287.1
7.908,11303.9
7.918,11322.5
7.929,11341.8
7.939,11359.2
7.949,11381.2
7.959,11401.2
7.969,11419.7
7.979,11440.1
7.99,11457.2
