time, angle [deg], U Currrent [A], V Current [A], W Current [A]
0,309.193,-3.14049,-3.14049,-3.14049
0.196,309.874,-3.14049,-3.14049,-3.14049
0.205,311.083,-3.14049,-3.14049,-3.14049
0.211,311.435,-3.14049,-3.14049,-3.14049
0.217,311.435,-3.14049,-3.14049,-3.14049
0.222,311.171,-3.14049,-3.14049,-3.14049
0.227,311.083,-3.14049,-3.14049,-3.14049
0.233,311.149,-3.14049,-3.14049,-3.14049
0.238,311.237,-3.14049,-3.14049,-3.14049
0.244,311.237,-3.14049,-3.14049,-3.14049
0.249,311.171,-3.14049,-3.14049,-3.14049
0.255,311.171,-3.14049,-3.14049,-3.14049
0.26,311.259,-3.14049,-3.14049,-3.14049
0.265,311.193,-3.14049,-3.14049,-3.14049
0.271,311.215,-3.14049,-3.14049,-3.14049
0.276,311.193,-3.14049,-3.14049,-3.14049
0.282,311.149,-3.14049,-3.14049,-3.14049
0.287,311.193,-3.14049,-3.14049,-3.14049
0.293,311.171,-3.14049,-3.14049,-3.14049
0.298,311.171,-3.14049,-3.14049,-3.14049
0.304,311.171,-3.14049,-3.14049,-3.14049
0.309,311.171,-3.14049,-3.14049,-3.14049
0.315,311.193,-3.14049,-3.14049,-3.14049
0.321,311.237,-3.14049,-3.14049,-3.14049
0.326,311.215,-3.14049,-3.14049,-3.14049
0.332,311.171,-3.14049,-3.14049,-3.14049
0.338,311.193,-3.14049,-3.14049,-3.14049
0.344,311.215,-3.14049,-3.14049,-3.14049
0.349,311.193,-3.14049,-3.14049,-3.14049
0.355,311.127,-3.14049,-3.14049,-3.14049
0.36,311.193,-3.14049,-3.14049,-3.14049
0.366,311.171,-3.14049,-3.14049,-3.14049
0.372,311.149,-3.14049,-3.14049,-3.14049
0.378,311.193,-3.14049,-3.14049,-3.14049
0.384,311.171,-3.14049,-3.14049,-3.14049
0.39,311.215,-3.14049,-3.14049,-3.14049
0.395,311.171,-3.14049,-3.14049,-3.14049
0.4,311.171,-3.14049,-3.14049,-3.14049
0.408,311.215,-3.14049,-3.14049,-3.14049
0.413,311.215,-3.14049,-3.14049,-3.14049
0.419,311.193,-3.14049,-3.14049,-3.14049
0.427,311.193,-3.14049,-3.14049,-3.14049
0.433,311.171,-3.14049,-3.14049,-3.14049
0.439,311.127,-3.14049,-3.14049,-3.14049
0.444,311.215,-3.14049,-3.14049,-3.14049
0.449,311.127,-3.14049,-3.14049,-3.14049
0.455,311.193,-3.14049,-3.14049,-3.14049
0.461,311.193,-3.14049,-3.14049,-3.14049
0.466,311.193,-3.14049,-3.14049,-3.14049
0.472,311.193,-3.14049,-3.14049,-3.14049
0.482,311.193,-3.14049,-3.14049,-3.14049
0.489,311.149,-3.14049,-3.14049,-3.14049
0.495,311.215,-3.14049,-3.14049,-3.14049
0.502,311.149,-3.14049,-3.14049,-3.14049
0.508,311.171,-3.14049,-3.14049,-3.14049
0.515,311.193,-3.14049,-3.14049,-3.14049
0.52,311.171,-3.14049,-3.14049,-3.14049
0.525,311.237,-3.14049,-3.14049,-3.14049
0.531,311.171,-3.14049,-3.14049,-3.14049
0.537,311.215,-3.14049,-3.14049,-3.14049
0.542,311.149,-3.14049,-3.14049,-3.14049
