time, angle [deg], U Currrent [A], V Current [A], W Current [A] , Id[A], Iq[A]
0.205,345.936,1.26301,2.36956,-3.63258,-4.43255,0.87074
0.206,345.804,1.26301,2.36956,-3.63258,-4.44384,0.775343
0.206,345.672,1.26301,2.36956,-3.63258,-4.47622,0.619579
0.209,345.233,1.26301,2.36956,-3.63258,-4.49221,0.475123
0.21,345.035,1.26301,2.36956,-3.63258,-4.51682,0.0636518
0.214,344.376,1.26301,2.36956,-3.63258,-4.51721,-0.0454966
0.215,344.156,1.26301,2.36956,-3.63258,-4.51502,-0.154618
0.217,344.002,1.26301,2.36956,-3.63258,-4.51462,-0.142497
0.217,343.826,1.26301,2.36956,-3.63258,-4.51538,-0.130375
0.224,344.09,1.26301,2.36956,-3.63258,-4.51673,-0.00911363
0.225,344.332,1.26301,2.36956,-3.63258,-4.51641,0.112154
0.227,344.639,1.26301,2.36956,-3.63258,-4.48543,0.535381
0.231,345.277,1.26301,2.36956,-3.63258,-4.44164,0.823089
0.233,345.848,1.26301,2.36956,-3.63258,-4.43019,0.882638
0.233,345.87,1.26301,2.36956,-3.63258,-4.43019,0.882638
0.234,345.98,1.26301,2.36956,-3.63258,-4.41022,0.97758
0.234,346.068,1.26301,2.36956,-3.63258,-4.41022,0.97758
0.234,346.178,1.26301,2.36956,-3.63258,-4.23127,1.58178
0.241,347.32,1.26301,2.36956,-3.63258,-4.14028,1.80659
0.244,347.694,1.26301,2.36956,-3.63258,-4.14028,1.79547
0.247,347.584,1.26301,2.36956,-3.63258,-4.18728,1.69479
0.25,347.408,1.26301,2.36956,-3.63258,-4.20524,1.64973
0.251,347.364,1.26301,2.36956,-3.63258,-4.20524,1.64973
0.251,347.342,1.26301,2.36956,-3.63258,-4.20966,1.63843
0.252,347.342,1.26301,2.36956,-3.63258,-4.23127,1.60447
0.252,347.035,1.26301,2.36956,-3.63258,-4.31007,1.35241
0.255,346.727,1.26301,2.36956,-3.63258,-4.32783,1.29443
0.255,346.661,1.26301,2.36956,-3.63258,-4.33129,1.27117
0.256,346.529,1.26301,2.36956,-3.63258,-4.3882,1.07207
0.258,346.002,1.26301,2.36956,-3.63258,-4.43019,0.882638
0.259,345.87,1.26301,2.36956,-3.63258,-4.46944,0.655598
0.265,344.507,1.26301,2.36956,-3.63258,-4.51538,-0.130375
0.267,344.068,1.26301,2.36956,-3.63258,-4.5127,-0.203092
0.268,343.958,1.26301,2.36956,-3.63258,-4.51091,-0.239432
0.268,343.848,1.26301,2.36956,-3.63258,-4.50884,-0.275756
