No, RawRotation, Rotation, CompRotation, ElecCompRotation, Mech_deg, Mech_Comp_deg
0,11342,-5041,9556.5,333.5,69.2443,0
1,11344,-5039,9558.5,332.5,69.2223,0
2,11344,-5040,9557.5,333.5,69.2882,0
3,11169,-5217,9380.5,156.5,65.2448,0
4,11113,-5270,9327.5,103.5,64.2339,0
5,11420,-4963,9637.5,413.5,71.0023,0
6,11850,-4533,10071.5,847.5,80.5396,0
7,12364,-4019,10584.5,1360.5,91.813,0
8,12848,-3535,11068.5,1844.5,102.449,0
9,13370,-3013,11590.5,60.5,113.92,0
10,13969,-2414,12193.5,663.5,127.171,0
11,14479,-1900,12697.5,1167.5,138.291,0
12,14518,-1865,12728.5,1198.5,138.928,0
13,14316,-2067,12525.5,995.5,134.467,0
14,14143,-2240,12353.5,823.5,130.687,0
15,13886,-2497,12095.5,565.5,125.018,0
16,13667,-2715,11882.5,352.5,120.337,0
17,13660,-2722,11875.5,345.5,120.183,0
18,13867,-2510,12087.5,557.5,125.018,0
19,14382,-2001,12596.5,1070.5,136.115,0
20,14769,-1614,12983.5,1456.5,144.598,0
21,15261,-1122,13483.5,1953.5,155.519,0
22,16118,-265,14345.5,509.5,174.462,0
23,517,517,15119.5,1283.5,191.449,0
24,847,847,15447.5,1611.5,198.657,0
25,812,808,15406.5,1570.5,197.756,0
26,709,709,15307.5,1471.5,195.581,0
27,789,793,15391.5,1555.5,197.426,0
28,876,873,15471.5,1635.5,199.206,0
29,780,781,15379.5,1543.5,197.141,0
30,531,526,15124.5,1288.5,191.405,0
31,131,131,14729.5,889.5,182.791,0
32,16268,-115,14482.5,643.5,177.407,0
33,15888,-495,14102.5,261.5,169.012,0
34,15472,-911,13684.5,2154.5,159.937,0
35,15517,-866,13736.5,2206.5,161.079,0
36,15818,-565,14040.5,204.5,167.76,0
37,16091,-292,14309.5,473.5,173.671,0
38,16257,-126,14476.5,640.5,177.341,0
39,16212,-171,14421.5,585.5,176.132,0
40,16045,-338,14259.5,423.5,172.572,0
41,15946,-440,14157.5,321.5,170.243,0
42,15904,-479,14118.5,282.5,169.518,0
43,15945,-438,14159.5,323.5,170.397,0
44,15854,-529,14068.5,232.5,168.287,0
45,15580,-803,13794.5,2261.5,162.288,0
46,15396,-987,13610.5,2078.5,158.266,0
47,15638,-745,13852.5,22.5,163.76,0
48,16155,-228,14369.5,543.5,175.209,0
49,431,431,15029.5,1199.5,189.603,0
50,1028,1028,15626.5,1797.5,202.744,0
51,1672,1679,16277.5,135.5,216.897,0
52,2439,2449,663.5,663.5,233.993,0
53,2998,3005,1219.5,1219.5,246.124,0
54,3219,3218,1432.5,1432.5,250.739,0
55,3140,3142,1356.5,1356.5,249.09,0
56,3089,3090,1304.5,1304.5,247.882,0
57,3273,3279,1493.5,1493.5,252.189,0
58,3661,3664,1878.5,1878.5,260.649,0
59,4213,4213,2427.5,121.5,272.736,0
60,5037,5037,3251.5,957.5,290.953,0
61,5885,5885,4108.5,1802.5,309.523,0
62,6666,6666,4886.5,274.5,326.619,0
63,7180,7180,5397.5,785.5,337.849,0
64,7363,7363,5575.5,963.5,341.76,0
65,7083,7083,5297.5,679.5,335.519,0
66,6887,6888,5102.5,490.5,331.366,0
67,7031,7031,5245.5,636.5,334.575,0
68,7273,7273,5487.5,880.5,339.937,0
69,7490,7492,5706.5,1094.5,344.683,0
70,7464,7464,5674.5,1062.5,343.936,0
71,6978,6978,5185.5,573.5,333.19,0
72,6594,6594,4805.5,193.5,324.839,0
73,6526,6526,4740.5,127.5,323.389,0
74,6448,6446,4660.5,48.5,321.653,0
75,6170,6170,4384.5,2074.5,315.5,0
76,5942,5942,4156.5,1848.5,310.534,0
77,6100,6100,4314.5,2012.5,314.137,0
78,6488,6488,4702.5,95.5,322.686,0
79,6884,6884,5098.5,491.5,331.388,0
80,7287,7287,5504.5,892.5,340.2,0
81,7701,7701,5922.5,1310.5,349.386,0
82,7983,7983,6199.5,1587.5,355.473,0
83,8252,-8131,6474.5,1862.5,1.49432,0
84,8717,-7666,6935.5,17.5,11.625,0
85,9139,-7244,7359.5,441.5,20.9425,0
86,9436,-6947,7655.5,737.5,27.4472,0
87,9612,-6771,7826.5,908.5,31.205,0
88,9549,-6834,7760.5,842.5,29.7546,0
89,9165,-7226,7371.5,453.5,21.0084,0
90,8763,-7620,6977.5,57.5,12.504,0
91,8579,-7804,6793.5,2180.5,8.48248,0
