No, RawRotation, Rotation, CompRotation, ElecCompRotation, Mech_deg, Mech_Comp_deg
0,0,-4734,9863.5,636.5,75.9248,0
1,11647,-4736,9861.5,638.5,75.9468,0
2,11646,-4736,9861.5,639.5,75.9687,0
3,11452,-4931,9666.5,438.5,71.5517,0
4,11182,-5201,9396.5,173.5,65.7282,0
5,11274,-5109,9492.5,268.5,67.8159,0
6,11637,-4739,9858.5,634.5,75.8589,0
7,12176,-4203,10394.5,1170.5,87.6377,0
8,12640,-3737,10860.5,1636.5,98.01,0
9,13276,-3100,11497.5,2273.5,112.03,0
10,14096,-2277,12320.5,790.5,130.204,0
11,14837,-1546,13051.5,1529.5,146.202,0
12,15227,-1152,13445.5,1915.5,154.728,0
13,15453,-930,13672.5,2142.5,159.673,0
14,15656,-727,13870.5,35.5,164.046,0
15,15693,-691,13906.5,70.5,164.793,0
16,15789,-588,14009.5,177.5,167.276,0
17,16068,-313,14284.5,448.5,173.166,0
18,40,40,14643.5,807.5,180.989,0
19,623,628,15226.5,1390.5,193.976,0
20,1107,1107,15710.5,1874.5,204.437,0
21,1642,1648,16246.5,104.5,216.347,0
22,2354,2354,578.5,578.5,231.95,0
23,2892,2892,1106.5,1111.5,243.663,0
24,3081,3081,1295.5,1295.5,247.706,0
25,3062,3062,1277.5,1275.5,247.267,0
26,3096,3096,1309.5,1309.5,248.014,0
27,3343,3343,1557.5,1562.5,253.573,0
28,3846,3855,2069.5,2069.5,264.715,0
29,4530,4530,2744.5,445.5,279.702,0
30,5246,5253,3467.5,1168.5,295.59,0
31,5881,5887,4101.5,1795.5,309.369,0
32,6468,6468,4682.5,75.5,322.246,0
33,6716,6716,4931.5,319.5,327.52,0
34,6783,6783,4997.5,387.5,329.103,0
35,6827,6827,5039.5,427.5,329.982,0
36,6939,6939,5153.5,544.5,332.553,0
37,7358,7361,5575.5,963.5,341.892,0
38,7716,7716,5932.5,1320.5,349.606,0
39,8158,8158,6372.5,1769.5,359.473,0
40,8962,-7409,7188.5,270.5,17.4264,0
41,9791,-6592,8011.5,1093.5,35.2704,0
42,10280,-6103,8494.5,1579.5,45.9504,0
43,10450,-5931,8666.5,1748.5,49.6862,0
44,10473,-5910,8687.5,1767.5,50.0818,0
45,10566,-5817,8782.5,1864.5,52.2134,0
46,10912,-5471,9133.5,2215.5,59.9267,0
47,11519,-4864,9739.5,515.5,73.2438,0
48,12185,-4198,10408.5,1184.5,87.9453,0
49,12824,-3559,11046.5,1822.5,101.966,0
50,13400,-2976,11621.5,91.5,114.601,0
51,13681,-2700,11897.5,368.5,120.689,0
52,13697,-2682,11915.5,385.5,121.084,0
53,13720,-2663,11934.5,401.5,121.414,0
54,13915,-2468,12134.5,604.5,125.875,0
55,14422,-1961,12636.5,1112.5,137.038,0
56,14794,-1589,13012.5,1482.5,145.257,0
57,15306,-1077,13520.5,1997.5,156.486,0
58,16210,-173,14424.5,600.5,176.462,0
59,697,697,15295.5,1466.5,195.471,0
60,1172,1176,15774.5,1938.5,205.931,0
61,1389,1389,15989.5,2153.5,210.568,0
62,1593,1593,16191.5,49.5,215.095,0
63,1718,1718,16316.5,174.5,217.754,0
64,1902,1906,120.5,120.5,222.017,0
65,2206,2206,424.5,424.5,228.565,0
66,2441,2446,660.5,666.5,233.884,0
67,2815,2818,1032.5,1036.5,242.014,0
68,3154,3160,1374.5,1374.5,249.53,0
69,3688,3688,1902.5,1909.5,261.199,0
70,4516,4516,2743.5,437.5,279.526,0
71,5316,5316,3539.5,1233.5,297.019,0
72,5729,5729,3945.5,1639.5,305.941,0
73,5939,5939,4158.5,1852.5,310.621,0
74,6128,6129,4343.5,2037.5,314.775,0
75,6243,6242,4456.5,2150.5,317.192,0
76,6413,6416,4630.5,18.5,321.104,0
77,6719,6723,4937.5,325.5,327.74,0
78,7165,7175,5389.5,777.5,337.849,0
79,7799,7806,6020.5,1408.5,351.693,0
80,8305,-8078,6519.5,1907.5,2.57111,0
81,8822,-7561,7036.5,118.5,13.9324,0
82,9347,-7029,7568.5,650.5,25.7111,0
83,9711,-6672,7925.5,1008.5,33.4025,0
84,9824,-6559,8038.5,1121.5,35.8857,0
85,9930,-6450,8147.5,1229.5,38.303,0
86,10015,-6368,8229.5,1311.5,40.127,0
87,10244,-6134,8463.5,1545.5,45.3351,0
88,10602,-5778,8819.5,1901.5,53.1144,0
89,11117,-5257,9340.5,116.5,64.6514,0
90,11993,-4379,10218.5,994.5,84.0117,0
91,12941,-3431,11166.5,1942.5,104.844,0
92,13813,-2570,12027.5,507.5,123.743,0
93,14483,-1900,12697.5,1174.5,138.401,0
94,14760,-1623,12974.5,1443.5,144.312,0
95,14673,-1710,12887.5,1355.5,142.378,0
96,14329,-2054,12538.5,1008.5,134.753,0
