time [sec], Angle [deg], Uph-Current [A], Vph-Current [A], Wph-Current [A]
0.281,-157.206,0.0548527,1.07707,-1.13193
0.305,-91.3746,-0.0459105,-0.127028,0.172939
0.325,-18.5352,-0.732359,0.855414,-0.123055
0.348,68.0214,0.285843,-1.07437,0.788529
0.369,140.335,-0.650501,-0.291595,0.942096
0.389,206.013,0.961633,-0.499955,-0.461678
0.409,272.305,-0.285487,0.607417,-0.32193
0.429,341.815,-0.74242,0.137923,0.604496
0.449,415.21,0.499945,0.413416,-0.913361
0.47,485.421,-0.308507,-0.377038,0.685545
0.49,560.757,0.776089,0.539075,-1.31516
0.51,624.377,1.43821,0.0537721,-1.49199
0.531,696.274,-1.31697,1.07752,0.239453
0.551,766.976,0.342385,-1.0575,0.715117
0.571,831.668,1.01844,0.197834,-1.21627
0.592,898.792,-1.02888,0.821841,0.207036
0.612,968.105,0.244627,-1.08232,0.837692
0.632,1034.26,1.0583,0.212464,-1.27076
0.652,1103.7,-1.10607,0.761563,0.344506
0.672,1171.17,0.353415,-1.00723,0.65382
0.693,1235.75,0.875925,0.237371,-1.1133
0.713,1305,-0.923524,0.605957,0.317568
0.733,1373.77,0.496535,-0.996923,0.500388
0.753,1441.36,0.718622,0.332062,-1.05068
0.773,1510.06,-0.911286,0.605103,0.306183
0.794,1575.45,0.491196,-0.69786,0.206664
0.814,1643.1,0.536861,0.327056,-0.863917
0.834,1713.31,-0.890671,0.583,0.307671
0.854,1778.49,0.568205,-0.766705,0.1985
0.874,1847.81,0.487154,0.408882,-0.896037
0.894,1916.18,-0.775526,0.37476,0.400766
0.915,1981.7,0.776374,-0.522089,-0.254285
0.935,2050.19,0.402984,0.401115,-0.804099
0.955,2118.75,-0.631995,0.0923453,0.53965
0.975,2187.7,0.755714,-0.638301,-0.117413
0.995,2255.24,0.381445,0.419009,-0.800453
1.015,2322.65,-0.661001,0.0700736,0.590928
1.035,2388.72,1.01457,-0.311542,-0.703025
1.056,2459.53,-0.237712,0.692337,-0.454625
1.076,2527.71,-0.617389,-0.285544,0.902934
1.096,2594.74,0.927652,-0.311023,-0.616628
1.116,2662.74,-0.222511,0.680692,-0.458181
1.136,2730.02,-0.230572,-0.718209,0.948781
1.156,2797.67,1.23033,-0.251181,-0.979152
1.177,2866.79,-0.702269,1.12698,-0.424711
1.197,2934.84,0.148357,-0.783304,0.634947
1.217,3000.63,1.43619,0.0874845,-1.52367
1.237,3069.87,-1.32951,1.08662,0.242889
1.257,3137.83,0.266896,-1.13353,0.866633
